Origem;Data protocolo;Tipo de Tecnologia;Tema da Saúde;Demandante;Nome da tecnologia;Status;Indicação;Motivo da solicitação ;Data decisão
Interna;01/01/2012;Medicamento;Reumatologia;Secretaria de Estado de Saúde de Minas Gerais SES/MG;Adalimumabe;Processo encerrado: decisão de não incorporação no SUS;Tratamento da psoríase moderada a grave em adultos;Incorporação;05/10/2012
Interna;01/01/2012;Medicamento;Reumatologia;Secretaria de Estado de Saúde de Minas Gerais SES/MG;Etanercepte;Processo encerrado: decisão de não incorporação no SUS;Tratamento da psoríase moderada a grave em adultos;Incorporação;05/10/2012
Interna;01/01/2012;Medicamento;Reumatologia;Secretaria de Estado de Saúde de Minas Gerais SES/MG;Infliximabe;Processo encerrado: decisão de não incorporação no SUS;Tratamento da psoríase moderada a grave em adultos;Incorporação;05/10/2012
Interna;01/01/2012;Medicamento;Reumatologia;Secretaria de Estado de Saúde de Minas Gerais SES/MG;Ustequinumabe;Processo encerrado: decisão de não incorporação no SUS;Tratamento da psoríase moderada a grave em adultos;Incorporação;05/10/2012
Interna;05/03/2012;Medicamento;Infectologia;Secretaria de Vigilância em Saúde SVS/MS;Telaprevir;Processo encerrado: decisão de incorporação no SUS;Tratamento da Hepatite crônica C;Incorporação;26/07/2012
Interna;05/03/2012;Medicamento;Infectologia;Secretaria de Vigilância em Saúde SVS/MS;Boceprevir;Processo encerrado: decisão de incorporação no SUS;Tratamento da Hepatite crônica C;Incorporação;26/07/2012
Interna;10/05/2012;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Sildenafila;Processo encerrado: decisão de incorporação no SUS;Tratamento do fenômeno de Raynaud na esclerose sistêmica;Incorporação;04/10/2012
Interna;10/05/2012;Medicamento;Nefrologia;Secretaria de Atenção à Saúde SAS/MS;Tacrolimo;Processo encerrado: decisão de incorporação no SUS;Tratamento da síndrome nefrótica primária;Incorporação;04/10/2012
Interna;10/05/2012;Medicamento;Oncologia;Secretaria de Atenção à Saúde SAS/MS;Trastuzumabe;Processo encerrado: decisão de incorporação no SUS;Tratamento do câncer de mama avançado;Incorporação;26/07/2012
Interna;10/05/2012;Medicamento;Oncologia;Secretaria de Atenção à Saúde SAS/MS;Trastuzumabe;Processo encerrado: decisão de incorporação no SUS;Tratamento do câncer de mama inicial;Incorporação;26/07/2012
Interna;01/06/2012;Medicamento;Genética;Secretaria de Atenção à Saúde SAS/MS;Biotina;Processo encerrado: decisão de incorporação no SUS;Tratamento da deficiência de biotinidase;Incorporação;04/10/2012
Interna;01/06/2012;Procedimento;Ginecologia/Urologia;Secretaria de Atenção à Saúde SAS/MS;Mastectomia Simples bilateral em usuário sob processo transexualizador;Processo encerrado: decisão de incorporação no SUS;Processo transexualizador;Incorporação;16/05/2014
Interna;01/06/2012;Procedimento;Ginecologia/Urologia;Secretaria de Atenção à Saúde SAS/MS;Histerectomia com anexectomia bilateral;Processo encerrado: decisão de incorporação no SUS;Processo transexualizador;Incorporação;16/05/2014
Interna;01/06/2012;Procedimento;Ginecologia/Urologia;Secretaria de Atenção à Saúde SAS/MS;Colpectomia em usuário sob processo sexualizador;Processo encerrado: decisão de incorporação no SUS;Processo transexualizador;Incorporação;16/05/2014
Interna;01/06/2012;Procedimento;Ginecologia/Urologia;Secretaria de Atenção à Saúde SAS/MS;Cirurgia complementar de redesignação sexual;Processo encerrado: decisão de incorporação no SUS;Processo transexualizador;Incorporação;16/05/2014
Interna;01/06/2012;Procedimento;Ginecologia/Urologia;Secretaria de Atenção à Saúde SAS/MS;Administração hormonal Testosterona;Processo encerrado: decisão de incorporação no SUS;Processo transexualizador;Incorporação;16/05/2014
Interna;01/06/2012;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Naproxeno;Processo encerrado: decisão de incorporação no SUS;Tratamento da espondilite ancilosante;Incorporação;04/10/2012
Interna;01/06/2012;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Clobetasol;Processo encerrado: decisão de incorporação no SUS;Tratamento da psoríase;Incorporação;04/10/2012
Interna;25/06/2012;Medicamento;Infectologia;Secretaria de Vigilância em Saúde SVS/MS;Maraviroque;Processo encerrado: decisão de incorporação no SUS;Pacientes em terapia antirretroviral;Incorporação;25/10/2012
Interna;04/07/2012;Medicamento;Pneumologia;Secretaria de Atenção à Saúde SAS/MS;Vacina contra influenza;Processo encerrado: decisão de incorporação no SUS;Tratamento da doença pulmonar obstrutiva crônica (DPOC);Incorporação;26/09/2012
Interna;04/07/2012;Produto;Pneumologia;Secretaria de Atenção à Saúde SAS/MS;Exame diagnóstico;Processo encerrado: decisão de incorporação no SUS;Deficiência de alfa1 antitripsina para portadores de doença pulmonar obstrutiva crônica (DPOC);Incorporação;26/09/2012
